 Tue, 27 Nov 2001 21:28:20 -0800 (PST)enron_update@concureworkplace.com@ENRON|steffes|
 Tue, 23 Oct 2001 08:41:02 -0700 (PDT)
 Thu, 27 Dec 2001 08:42:03 -0800 (PST)
 Wed, 21 Nov 2001 03:13:00 -0800 (PST)
 Thu, 20 Dec 2001 11:21:16 -0800 (PST)
 Tue, 23 Oct 2001 21:18:29 -0700 (PDT)
 Tue, 20 Nov 2001 08:07:08 -0800 (PST)
 Sun, 25 Nov 2001 21:18:21 -0800 (PST)
 Fri, 28 Dec 2001 07:12:39 -0800 (PST)
 Tue, 27 Nov 2001 16:36:16 -0800 (PST)
 Mon, 26 Nov 2001 07:29:34 -0800 (PST)
 Thu, 15 Nov 2001 08:16:33 -0800 (PST)
 Mon, 26 Nov 2001 13:48:11 -0800 (PST)
 Fri, 9 Nov 2001 10:09:09 -0800 (PST)
 Tue, 23 Oct 2001 08:47:09 -0700 (PDT)
 Mon, 26 Nov 2001 08:53:59 -0800 (PST)
 Fri, 14 Dec 2001 09:35:05 -0800 (PST)
 Mon, 31 Dec 2001 23:00:34 -0800 (PST)
 Wed, 26 Dec 2001 10:56:41 -0800 (PST)
 Tue, 13 Nov 2001 10:56:31 -0800 (PST)
 Mon, 29 Oct 2001 15:45:59 -0800 (PST)
 Fri, 26 Oct 2001 09:47:14 -0700 (PDT)
 Wed, 19 Dec 2001 13:42:10 -0800 (PST)
 Tue, 27 Nov 2001 13:11:20 -0800 (PST)
 Wed, 19 Dec 2001 14:50:45 -0800 (PST)
 Tue, 27 Nov 2001 10:53:12 -0800 (PST)
 Thu, 15 Nov 2001 09:35:04 -0800 (PST)
 Thu, 27 Dec 2001 14:06:51 -0800 (PST)
 Mon, 26 Nov 2001 11:57:34 -0800 (PST)
 Fri, 21 Dec 2001 10:11:37 -0800 (PST)
 Tue, 13 Nov 2001 12:47:07 -0800 (PST)
 Mon, 26 Nov 2001 07:57:17 -0800 (PST)
 Wed, 24 Oct 2001 10:54:31 -0700 (PDT)
 Mon, 26 Nov 2001 10:00:08 -0800 (PST)
 Fri, 16 Nov 2001 13:37:51 -0800 (PST)
 Fri, 28 Dec 2001 08:22:36 -0800 (PST)
 Mon, 31 Dec 2001 12:48:24 -0800 (PST)
 Wed, 19 Dec 2001 22:52:46 -0800 (PST)
 Mon, 31 Dec 2001 23:00:34 -0800 (PST)
 Fri, 28 Dec 2001 09:58:05 -0800 (PST)
 Wed, 19 Dec 2001 07:16:54 -0800 (PST)
 Wed, 24 Oct 2001 08:22:14 -0700 (PDT)
 Wed, 24 Oct 2001 06:13:18 -0700 (PDT)
 Mon, 29 Oct 2001 08:36:11 -0800 (PST)
 Tue, 20 Nov 2001 13:30:56 -0800 (PST)
 Wed, 26 Dec 2001 11:38:38 -0800 (PST)
 Mon, 26 Nov 2001 13:05:58 -0800 (PST)
 Wed, 19 Dec 2001 14:22:29 -0800 (PST)
 Fri, 16 Nov 2001 09:01:53 -0800 (PST)
 Fri, 16 Nov 2001 07:43:55 -0800 (PST)
 Mon, 26 Nov 2001 10:31:26 -0800 (PST)
 Fri, 21 Dec 2001 13:32:07 -0800 (PST)
 Mon, 17 Dec 2001 08:50:43 -0800 (PST)
 Mon, 17 Dec 2001 17:32:35 -0800 (PST)
 Fri, 23 Nov 2001 13:30:13 -0800 (PST)
 Wed, 19 Dec 2001 15:01:49 -0800 (PST)
 Wed, 21 Nov 2001 07:20:41 -0800 (PST)
 Tue, 23 Oct 2001 18:59:33 -0700 (PDT)
 Mon, 26 Nov 2001 18:43:32 -0800 (PST)
 Mon, 26 Nov 2001 07:12:20 -0800 (PST)
 Mon, 29 Oct 2001 15:36:57 -0800 (PST)
 Mon, 29 Oct 2001 17:15:27 -0800 (PST)
 Fri, 28 Dec 2001 07:23:52 -0800 (PST)
 Tue, 27 Nov 2001 13:27:42 -0800 (PST)
 Tue, 23 Oct 2001 15:56:10 -0700 (PDT)
 Tue, 18 Dec 2001 07:17:56 -0800 (PST)
 Thu, 20 Dec 2001 11:39:10 -0800 (PST)
 Tue, 23 Oct 2001 16:18:09 -0700 (PDT)
 Mon, 29 Oct 2001 15:43:59 -0800 (PST)
 Mon, 29 Oct 2001 15:53:38 -0800 (PST)
 Tue, 23 Oct 2001 08:16:39 -0700 (PDT)
 Mon, 31 Dec 2001 09:06:22 -0800 (PST)
 Mon, 26 Nov 2001 06:59:10 -0800 (PST)
 Mon, 22 Oct 2001 11:50:25 -0700 (PDT)
 Wed, 14 Nov 2001 19:07:29 -0800 (PST)
 Wed, 14 Nov 2001 16:25:10 -0800 (PST)
 Fri, 21 Dec 2001 07:55:46 -0800 (PST)
 Wed, 21 Nov 2001 15:05:44 -0800 (PST)
 Mon, 19 Nov 2001 08:10:05 -0800 (PST)
 Sat, 10 Nov 2001 21:00:40 -0800 (PST)
 Fri, 21 Dec 2001 06:47:46 -0800 (PST)
 Fri, 23 Nov 2001 13:37:35 -0800 (PST)
 Mon, 17 Dec 2001 08:04:08 -0800 (PST)
 Tue, 20 Nov 2001 14:46:01 -0800 (PST)
 Mon, 29 Oct 2001 06:43:39 -0800 (PST)
 Tue, 27 Nov 2001 12:17:41 -0800 (PST)
 Wed, 24 Oct 2001 06:53:08 -0700 (PDT)
 Tue, 20 Nov 2001 10:07:59 -0800 (PST)
 Fri, 26 Oct 2001 10:58:40 -0700 (PDT)
 Mon, 22 Oct 2001 21:00:26 -0700 (PDT)
 Thu, 15 Nov 2001 11:14:36 -0800 (PST)
 Wed, 26 Dec 2001 11:58:36 -0800 (PST)
 Fri, 26 Oct 2001 14:37:32 -0700 (PDT)
 Mon, 19 Nov 2001 13:04:20 -0800 (PST)
 Tue, 20 Nov 2001 10:00:12 -0800 (PST)
 Thu, 13 Dec 2001 10:05:58 -0800 (PST)
 Wed, 21 Nov 2001 14:55:10 -0800 (PST)
 Mon, 26 Nov 2001 08:39:44 -0800 (PST)
 Wed, 14 Nov 2001 12:20:40 -0800 (PST)
 Tue, 20 Nov 2001 13:44:36 -0800 (PST)
 Mon, 29 Oct 2001 16:21:59 -0800 (PST)
 Tue, 20 Nov 2001 10:44:30 -0800 (PST)
 Tue, 27 Nov 2001 12:09:51 -0800 (PST)
 Mon, 26 Nov 2001 11:06:28 -0800 (PST)
 Wed, 12 Dec 2001 13:06:20 -0800 (PST)
 Tue, 27 Nov 2001 06:57:50 -0800 (PST)
 Tue, 1 Jan 2002 23:00:32 -0800 (PST)
 Tue, 6 Nov 2001 12:28:59 -0800 (PST)
 Wed, 19 Dec 2001 14:56:57 -0800 (PST)
 Mon, 19 Nov 2001 14:15:29 -0800 (PST)
 Mon, 31 Dec 2001 09:03:11 -0800 (PST)
 Tue, 27 Nov 2001 07:25:59 -0800 (PST)
 Tue, 27 Nov 2001 16:40:06 -0800 (PST)
 Wed, 21 Nov 2001 21:15:13 -0800 (PST)
 Thu, 27 Dec 2001 08:04:59 -0800 (PST)
 Wed, 19 Dec 2001 12:08:38 -0800 (PST)
 Wed, 21 Nov 2001 07:20:21 -0800 (PST)
 Wed, 21 Nov 2001 05:51:26 -0800 (PST)
 Tue, 20 Nov 2001 18:37:39 -0800 (PST)
 Tue, 27 Nov 2001 12:24:12 -0800 (PST)
 Thu, 20 Dec 2001 12:01:16 -0800 (PST)
 Thu, 27 Dec 2001 09:47:20 -0800 (PST)
 Mon, 19 Nov 2001 09:11:28 -0800 (PST)
 Tue, 13 Nov 2001 12:21:48 -0800 (PST)
 Sun, 25 Nov 2001 18:23:12 -0800 (PST)
 Tue, 27 Nov 2001 11:45:04 -0800 (PST)
 Mon, 26 Nov 2001 19:02:39 -0800 (PST)
 Wed, 19 Dec 2001 14:21:00 -0800 (PST)
 Mon, 17 Dec 2001 12:07:44 -0800 (PST)
 Tue, 18 Dec 2001 06:44:58 -0800 (PST)
 Fri, 28 Dec 2001 12:31:14 -0800 (PST)
 Fri, 23 Nov 2001 13:39:57 -0800 (PST)
 Wed, 21 Nov 2001 15:37:04 -0800 (PST)
 Tue, 20 Nov 2001 16:52:08 -0800 (PST)
 Tue, 20 Nov 2001 06:18:30 -0800 (PST)
 Wed, 31 Oct 2001 15:55:52 -0800 (PST)
 Thu, 15 Nov 2001 05:32:27 -0800 (PST)
 Thu, 27 Dec 2001 07:49:38 -0800 (PST)
 Mon, 17 Dec 2001 14:33:57 -0800 (PST)
 Thu, 22 Nov 2001 09:27:40 -0800 (PST)
 Mon, 26 Nov 2001 14:16:01 -0800 (PST)
 Tue, 27 Nov 2001 07:59:22 -0800 (PST)
 Tue, 13 Nov 2001 11:12:39 -0800 (PST)
 Mon, 26 Nov 2001 07:37:31 -0800 (PST)
 Tue, 23 Oct 2001 22:44:37 -0700 (PDT)
 Mon, 29 Oct 2001 11:34:14 -0800 (PST)
 Mon, 26 Nov 2001 10:18:53 -0800 (PST)
 Mon, 26 Nov 2001 06:49:52 -0800 (PST)
 Tue, 27 Nov 2001 14:10:34 -0800 (PST)
 Fri, 14 Dec 2001 15:01:06 -0800 (PST)
 Tue, 23 Oct 2001 07:31:53 -0700 (PDT)
 Tue, 6 Nov 2001 09:27:47 -0800 (PST)
 Thu, 27 Dec 2001 10:08:11 -0800 (PST)
 Tue, 20 Nov 2001 08:59:50 -0800 (PST)
 Fri, 14 Dec 2001 14:07:14 -0800 (PST)
 Wed, 24 Oct 2001 12:55:37 -0700 (PDT)
 Tue, 23 Oct 2001 13:46:14 -0700 (PDT)
 Wed, 24 Oct 2001 10:10:13 -0700 (PDT)
 Fri, 16 Nov 2001 11:10:54 -0800 (PST)
 Fri, 23 Nov 2001 14:01:55 -0800 (PST)
 Fri, 23 Nov 2001 13:41:11 -0800 (PST)
 Fri, 14 Dec 2001 10:46:23 -0800 (PST)
 Tue, 20 Nov 2001 10:19:20 -0800 (PST)
 Thu, 27 Dec 2001 06:32:01 -0800 (PST)
 Mon, 26 Nov 2001 07:51:41 -0800 (PST)
 Tue, 27 Nov 2001 08:18:32 -0800 (PST)
 Fri, 16 Nov 2001 06:47:11 -0800 (PST)
 Wed, 19 Dec 2001 13:47:31 -0800 (PST)
 Thu, 20 Dec 2001 13:08:39 -0800 (PST)
 Mon, 26 Nov 2001 13:54:26 -0800 (PST)
 Thu, 20 Dec 2001 15:44:02 -0800 (PST)
 Mon, 26 Nov 2001 10:01:39 -0800 (PST)
 Fri, 21 Dec 2001 10:01:58 -0800 (PST)
 Mon, 29 Oct 2001 15:31:23 -0800 (PST)
 Sat, 29 Dec 2001 05:22:46 -0800 (PST)
 Thu, 27 Dec 2001 13:20:06 -0800 (PST)
 Fri, 16 Nov 2001 08:22:59 -0800 (PST)
 Tue, 13 Nov 2001 06:54:57 -0800 (PST)
 Tue, 27 Nov 2001 15:01:51 -0800 (PST)
 Wed, 24 Oct 2001 08:30:55 -0700 (PDT)
 Wed, 24 Oct 2001 06:01:41 -0700 (PDT)
 Mon, 31 Dec 2001 12:54:06 -0800 (PST)
 Mon, 26 Nov 2001 09:40:37 -0800 (PST)
 Thu, 20 Dec 2001 08:01:28 -0800 (PST)
 Thu, 20 Dec 2001 12:06:09 -0800 (PST)
 Fri, 23 Nov 2001 14:47:51 -0800 (PST)
 Wed, 26 Dec 2001 11:00:57 -0800 (PST)
 Tue, 27 Nov 2001 12:31:34 -0800 (PST)
 Wed, 24 Oct 2001 12:08:20 -0700 (PDT)
 Mon, 29 Oct 2001 15:32:27 -0800 (PST)
 Sat, 22 Dec 2001 19:00:41 -0800 (PST)
 Tue, 20 Nov 2001 15:11:32 -0800 (PST)
 Wed, 24 Oct 2001 08:25:35 -0700 (PDT)
 Mon, 26 Nov 2001 13:35:05 -0800 (PST)
 Thu, 27 Dec 2001 14:26:50 -0800 (PST)
 Tue, 27 Nov 2001 18:47:00 -0800 (PST)
 Thu, 20 Dec 2001 13:26:48 -0800 (PST)
 Mon, 26 Nov 2001 12:04:43 -0800 (PST)
 Mon, 26 Nov 2001 09:16:21 -0800 (PST)
 Wed, 19 Dec 2001 06:48:30 -0800 (PST)
 Thu, 20 Dec 2001 17:36:06 -0800 (PST)
 Tue, 27 Nov 2001 00:35:21 -0800 (PST)
 Tue, 27 Nov 2001 14:12:43 -0800 (PST)
 Thu, 20 Dec 2001 09:52:36 -0800 (PST)
 Tue, 23 Oct 2001 15:52:32 -0700 (PDT)
 Thu, 15 Nov 2001 13:58:58 -0800 (PST)
 Wed, 24 Oct 2001 10:20:00 -0700 (PDT)
 Fri, 26 Oct 2001 08:37:24 -0700 (PDT)
 Thu, 13 Dec 2001 10:01:07 -0800 (PST)
 Thu, 20 Dec 2001 09:07:19 -0800 (PST)
 Sat, 24 Nov 2001 16:04:26 -0800 (PST)
 Tue, 27 Nov 2001 21:22:00 -0800 (PST)
 Thu, 15 Nov 2001 13:34:34 -0800 (PST)
 Mon, 26 Nov 2001 13:48:11 -0800 (PST)
 Fri, 21 Dec 2001 05:31:26 -0800 (PST)
 Fri, 21 Dec 2001 11:56:32 -0800 (PST)
 Wed, 24 Oct 2001 10:57:06 -0700 (PDT)
 Tue, 27 Nov 2001 12:03:20 -0800 (PST)
 Mon, 26 Nov 2001 14:23:51 -0800 (PST)
 Tue, 27 Nov 2001 07:36:31 -0800 (PST)
 Thu, 20 Dec 2001 07:40:35 -0800 (PST)
 Mon, 26 Nov 2001 08:37:00 -0800 (PST)
 Mon, 31 Dec 2001 17:37:21 -0800 (PST)
 Wed, 24 Oct 2001 12:35:05 -0700 (PDT)
 Tue, 1 Jan 2002 18:57:12 -0800 (PST)
 Mon, 26 Nov 2001 09:28:17 -0800 (PST)
 Fri, 21 Dec 2001 13:05:59 -0800 (PST)
 Tue, 20 Nov 2001 14:05:05 -0800 (PST)
 Fri, 28 Dec 2001 13:55:15 -0800 (PST)
 Fri, 21 Dec 2001 11:52:40 -0800 (PST)
 Mon, 26 Nov 2001 15:30:47 -0800 (PST)
 Mon, 17 Dec 2001 07:28:03 -0800 (PST)
 Mon, 17 Dec 2001 11:01:42 -0800 (PST)
 Fri, 14 Dec 2001 13:56:49 -0800 (PST)
 Tue, 27 Nov 2001 13:34:21 -0800 (PST)
 Wed, 19 Dec 2001 08:59:31 -0800 (PST)
 Wed, 26 Dec 2001 10:10:46 -0800 (PST)
 Fri, 9 Nov 2001 12:52:19 -0800 (PST)
 Fri, 28 Dec 2001 08:10:45 -0800 (PST)
 Wed, 24 Oct 2001 09:56:59 -0700 (PDT)
 Thu, 27 Dec 2001 08:55:07 -0800 (PST)
 Fri, 28 Dec 2001 07:26:30 -0800 (PST)
 Mon, 26 Nov 2001 16:17:44 -0800 (PST)
 Tue, 27 Nov 2001 11:03:30 -0800 (PST)
 Tue, 27 Nov 2001 10:18:24 -0800 (PST)
 Fri, 26 Oct 2001 08:43:36 -0700 (PDT)
 Thu, 20 Dec 2001 09:16:42 -0800 (PST)
 Fri, 26 Oct 2001 11:13:49 -0700 (PDT)
 Thu, 15 Nov 2001 14:00:20 -0800 (PST)
 Mon, 26 Nov 2001 12:12:37 -0800 (PST)
 Tue, 27 Nov 2001 09:57:58 -0800 (PST)
 Mon, 19 Nov 2001 18:07:28 -0800 (PST)
 Sun, 18 Nov 2001 17:54:29 -0800 (PST)
 Tue, 23 Oct 2001 18:40:59 -0700 (PDT)
 Thu, 15 Nov 2001 07:01:14 -0800 (PST)
 Fri, 9 Nov 2001 16:35:50 -0800 (PST)
 Thu, 15 Nov 2001 08:34:44 -0800 (PST)
 Fri, 21 Dec 2001 14:17:49 -0800 (PST)
 Fri, 16 Nov 2001 10:04:23 -0800 (PST)
 Mon, 26 Nov 2001 07:24:09 -0800 (PST)
 Mon, 26 Nov 2001 13:07:43 -0800 (PST)
 Mon, 19 Nov 2001 08:01:55 -0800 (PST)
 Mon, 17 Dec 2001 07:10:57 -0800 (PST)
 Tue, 27 Nov 2001 13:13:58 -0800 (PST)
 Thu, 20 Dec 2001 12:04:54 -0800 (PST)
 Mon, 26 Nov 2001 12:30:42 -0800 (PST)
 Fri, 28 Dec 2001 07:35:10 -0800 (PST)
 Tue, 23 Oct 2001 18:41:30 -0700 (PDT)
 Fri, 28 Dec 2001 07:33:54 -0800 (PST)
 Mon, 26 Nov 2001 17:19:11 -0800 (PST)
 Wed, 14 Nov 2001 11:05:12 -0800 (PST)
 Wed, 24 Oct 2001 10:17:58 -0700 (PDT)
 Mon, 26 Nov 2001 10:41:09 -0800 (PST)
 Wed, 26 Dec 2001 10:55:51 -0800 (PST)
 Tue, 27 Nov 2001 14:42:38 -0800 (PST)
 Tue, 25 Dec 2001 20:12:24 -0800 (PST)
 Thu, 15 Nov 2001 10:32:18 -0800 (PST)
 Thu, 15 Nov 2001 07:15:09 -0800 (PST)
 Fri, 16 Nov 2001 10:45:01 -0800 (PST)
 Sun, 18 Nov 2001 04:27:31 -0800 (PST)
 Tue, 27 Nov 2001 07:15:38 -0800 (PST)
 Mon, 17 Dec 2001 06:53:50 -0800 (PST)
 Wed, 24 Oct 2001 10:15:24 -0700 (PDT)
 Mon, 26 Nov 2001 07:31:44 -0800 (PST)
 Tue, 18 Dec 2001 17:31:11 -0800 (PST)
 Mon, 26 Nov 2001 13:00:38 -0800 (PST)
 Mon, 26 Nov 2001 06:09:39 -0800 (PST)
 Mon, 26 Nov 2001 07:25:59 -0800 (PST)
 Mon, 17 Dec 2001 06:35:24 -0800 (PST)
 Wed, 19 Dec 2001 12:46:24 -0800 (PST)
 Mon, 26 Nov 2001 07:45:50 -0800 (PST)
 Wed, 19 Dec 2001 14:59:11 -0800 (PST)
 Wed, 26 Dec 2001 11:08:42 -0800 (PST)
 Thu, 27 Dec 2001 14:58:02 -0800 (PST)
 Fri, 16 Nov 2001 06:57:44 -0800 (PST)
 Tue, 27 Nov 2001 13:35:19 -0800 (PST)
 Thu, 15 Nov 2001 13:07:00 -0800 (PST)
 Tue, 20 Nov 2001 06:47:18 -0800 (PST)
 Mon, 26 Nov 2001 08:11:40 -0800 (PST)
 Fri, 14 Dec 2001 13:33:57 -0800 (PST)
 Tue, 13 Nov 2001 07:09:31 -0800 (PST)
 Fri, 2 Nov 2001 08:36:59 -0800 (PST)
 Tue, 27 Nov 2001 13:43:32 -0800 (PST)
 Fri, 2 Nov 2001 12:04:51 -0800 (PST)
 Mon, 29 Oct 2001 14:00:27 -0800 (PST)
 Thu, 15 Nov 2001 07:29:55 -0800 (PST)
 Thu, 15 Nov 2001 13:35:07 -0800 (PST)
 Wed, 19 Dec 2001 14:30:44 -0800 (PST)
 Wed, 14 Nov 2001 14:34:57 -0800 (PST)
 Mon, 26 Nov 2001 14:07:43 -0800 (PST)
 Fri, 16 Nov 2001 11:45:12 -0800 (PST)
 Mon, 26 Nov 2001 12:30:42 -0800 (PST)
 Thu, 27 Dec 2001 14:47:39 -0800 (PST)
 Mon, 31 Dec 2001 10:10:27 -0800 (PST)
 Tue, 27 Nov 2001 13:35:46 -0800 (PST)
 Tue, 27 Nov 2001 11:09:19 -0800 (PST)
 Fri, 28 Dec 2001 08:10:22 -0800 (PST)
 Fri, 28 Dec 2001 07:45:45 -0800 (PST)
 Mon, 29 Oct 2001 15:41:34 -0800 (PST)
 Mon, 12 Nov 2001 13:13:56 -0800 (PST)
 Tue, 23 Oct 2001 14:26:25 -0700 (PDT)
 Mon, 26 Nov 2001 14:12:31 -0800 (PST)
 Mon, 31 Dec 2001 10:53:43 -0800 (PST)
 Thu, 20 Dec 2001 08:06:51 -0800 (PST)
 Fri, 21 Dec 2001 12:13:35 -0800 (PST)
 Tue, 27 Nov 2001 13:08:24 -0800 (PST)
 Wed, 19 Dec 2001 10:41:23 -0800 (PST)
 Fri, 23 Nov 2001 13:49:07 -0800 (PST)
 Tue, 27 Nov 2001 13:13:17 -0800 (PST)
 Sat, 10 Nov 2001 20:05:48 -0800 (PST)
 Mon, 29 Oct 2001 15:56:33 -0800 (PST)
 Mon, 12 Nov 2001 12:56:33 -0800 (PST)
 Wed, 24 Oct 2001 11:09:06 -0700 (PDT)
 Wed, 21 Nov 2001 16:19:03 -0800 (PST)
 Mon, 17 Dec 2001 14:00:53 -0800 (PST)
 Wed, 19 Dec 2001 15:55:45 -0800 (PST)
 Tue, 20 Nov 2001 08:29:27 -0800 (PST)
 Mon, 31 Dec 2001 09:07:20 -0800 (PST)
 Fri, 23 Nov 2001 06:58:34 -0800 (PST)
 Fri, 23 Nov 2001 06:09:34 -0800 (PST)
 Mon, 17 Dec 2001 09:28:03 -0800 (PST)
 Tue, 18 Dec 2001 16:02:49 -0800 (PST)
 Mon, 26 Nov 2001 07:42:49 -0800 (PST)
 Tue, 23 Oct 2001 17:18:10 -0700 (PDT)
 Mon, 17 Dec 2001 11:30:44 -0800 (PST)
 Fri, 28 Dec 2001 08:57:26 -0800 (PST)
 Wed, 19 Dec 2001 08:09:39 -0800 (PST)
 Thu, 13 Dec 2001 14:41:02 -0800 (PST)
 Wed, 21 Nov 2001 12:13:20 -0800 (PST)
 Sun, 28 Oct 2001 20:38:21 -0800 (PST)
 Tue, 27 Nov 2001 08:15:13 -0800 (PST)
 Wed, 24 Oct 2001 12:18:56 -0700 (PDT)
 Mon, 26 Nov 2001 06:21:44 -0800 (PST)
 Fri, 16 Nov 2001 14:14:19 -0800 (PST)
 Tue, 23 Oct 2001 15:24:34 -0700 (PDT)
 Wed, 24 Oct 2001 06:35:19 -0700 (PDT)
 Tue, 27 Nov 2001 14:33:58 -0800 (PST)
 Mon, 26 Nov 2001 21:23:09 -0800 (PST)
 Tue, 27 Nov 2001 10:58:19 -0800 (PST)
 Mon, 26 Nov 2001 11:37:00 -0800 (PST)
 Mon, 12 Nov 2001 13:21:12 -0800 (PST)
 Tue, 9 Oct 2001 11:39:21 -0700 (PDT)
 Tue, 20 Nov 2001 13:08:43 -0800 (PST)
 Thu, 20 Dec 2001 15:23:08 -0800 (PST)
 Mon, 26 Nov 2001 13:53:46 -0800 (PST)
 Tue, 27 Nov 2001 16:23:26 -0800 (PST)
 Fri, 23 Nov 2001 14:35:55 -0800 (PST)
 Mon, 26 Nov 2001 17:59:09 -0800 (PST)
 Sat, 29 Dec 2001 12:13:44 -0800 (PST)
 Mon, 29 Oct 2001 17:06:54 -0800 (PST)
 Mon, 26 Nov 2001 17:17:03 -0800 (PST)
 Mon, 19 Nov 2001 15:34:56 -0800 (PST)
 Tue, 27 Nov 2001 10:59:30 -0800 (PST)
 Mon, 19 Nov 2001 12:46:11 -0800 (PST)
 Fri, 28 Dec 2001 07:43:35 -0800 (PST)
 Tue, 27 Nov 2001 14:07:32 -0800 (PST)
 Fri, 23 Nov 2001 13:32:30 -0800 (PST)
 Mon, 17 Dec 2001 15:28:49 -0800 (PST)
 Mon, 26 Nov 2001 08:19:55 -0800 (PST)
 Sun, 25 Nov 2001 16:53:38 -0800 (PST)
 Tue, 13 Nov 2001 11:25:41 -0800 (PST)
 Mon, 26 Nov 2001 15:09:08 -0800 (PST)
 Fri, 21 Dec 2001 11:52:45 -0800 (PST)
 Wed, 26 Dec 2001 14:55:36 -0800 (PST)
 Mon, 26 Nov 2001 13:03:38 -0800 (PST)
 Wed, 26 Dec 2001 07:25:42 -0800 (PST)
 Tue, 25 Dec 2001 20:10:47 -0800 (PST)
 Fri, 28 Dec 2001 11:55:33 -0800 (PST)
 Wed, 14 Nov 2001 10:08:32 -0800 (PST)
 Wed, 26 Dec 2001 07:40:02 -0800 (PST)
 Mon, 26 Nov 2001 13:24:05 -0800 (PST)
 Wed, 14 Nov 2001 10:52:37 -0800 (PST)
 Mon, 29 Oct 2001 11:19:29 -0800 (PST)
 Wed, 24 Oct 2001 06:58:22 -0700 (PDT)
 Fri, 21 Dec 2001 11:11:35 -0800 (PST)
 Wed, 21 Nov 2001 14:48:08 -0800 (PST)
 Tue, 27 Nov 2001 11:29:41 -0800 (PST)
 Wed, 24 Oct 2001 13:23:29 -0700 (PDT)
 Mon, 12 Nov 2001 08:33:43 -0800 (PST)
 Tue, 27 Nov 2001 08:13:42 -0800 (PST)
 Fri, 26 Oct 2001 09:28:18 -0700 (PDT)
 Tue, 18 Dec 2001 12:53:01 -0800 (PST)
 Wed, 19 Dec 2001 08:18:26 -0800 (PST)
 Mon, 29 Oct 2001 07:43:57 -0800 (PST)
 Thu, 22 Nov 2001 21:16:40 -0800 (PST)
 Wed, 14 Nov 2001 16:14:40 -0800 (PST)
 Mon, 17 Dec 2001 17:19:23 -0800 (PST)
 Tue, 27 Nov 2001 09:56:52 -0800 (PST)
 Mon, 17 Dec 2001 12:25:55 -0800 (PST)
 Fri, 7 Sep 2001 07:04:49 -0700 (PDT)
 Mon, 29 Oct 2001 11:11:07 -0800 (PST)
 Mon, 29 Oct 2001 16:54:51 -0800 (PST)
 Tue, 27 Nov 2001 06:07:23 -0800 (PST)
 Tue, 23 Oct 2001 15:18:55 -0700 (PDT)
 Wed, 26 Dec 2001 11:00:02 -0800 (PST)
